Date,Weight,Muscle_Mass,Body_Fat,Body_Fat_Percentage,BMI,Visceral_Fat
09/16,63.1,27.3,14.1,22.4,23.7,5
09/17,62.9,27.6,13.6,21.7,23.7,5
09/18,63.2,27.3,14.2,22.5,23.8,6
09/19,63,27.1,14.4,22.9,23.7,6
09/20,63,27.5,13.8,21.9,23.7,5
09/21,63.2,27.5,13.9,22,23.8,5
09/22,63.3,27.6,13.9,22,23.8,5
09/23,62.8,27.2,14.1,22.5,23.6,5
09/24,62.7,27.3,13.8,22,23.6,5
09/25,63.4,27.4,14.3,22.6,23.9,5
09/26,62.8,26.9,14.6,23.2,23.6,6
09/27,63,27.4,13.9,22.1,23.7,5
09/28,63.4,28,13.3,21,23.9,5
09/29,,,,,,
09/30,,,,,,
10/01,63.7,28.2,13.2,20.7,24,5
10/02,63.5,27.8,13.5,21.3,23.9,5
10/03,62.9,27.7,13.5,21.4,23.7,5
10/04,62.9,27.5,13.8,21.9,23.7,5
10/05,63.2,27.9,13.5,21.3,23.8,5
10/06,63.1,27.8,13.4,21.2,23.7,5
10/07,,,,,,
10/08,,,,,,
10/09,,,,,,
10/10,64.4,28,14.1,21.9,24.2,5
10/11,63.5,28.1,13.4,21.1,23.9,5
10/12,64,28,14.1,22,24.1,5
10/13,64,27.8,14.1,22.1,24.1,5
10/14,64,27.8,14.2,22.2,24.1,6
10/15,64.4,28.2,14,21.7,24.2,5
10/16,63.7,28.1,13.4,21.1,24,5
10/17,63.2,27.1,14.7,23.2,23.8,6
10/18,62.9,28,13,20.6,23.7,5
10/19,63.1,27.6,13.8,21.8,23.7,5
10/20,62.9,27.5,13.7,21.8,23.7,5
10/21,62.8,27.7,13.5,21.5,23.6,5
10/22,63.2,27.9,13.4,21.2,23.8,5
10/23,63.5,28,13.5,21.3,23.9,5
10/24,63.8,27.9,13.8,21.7,24,5
10/25,63.5,27.8,13.8,21.8,23.9,5
10/26,63.5,27.5,14.4,22.6,23.9,5
10/27,63.2,27.7,13.8,21.8,23.8,5
10/28,63,27.2,14.4,22.8,23.7,5
10/29,62.8,27.3,14.1,22.4,23.6,5
10/30,63.3,27.6,13.9,22,23.8,5
10/31,63.1,27.4,14.1,22.3,23.7,5
11/01,63.5,27.6,14.1,22.2,23.9,5
11/02,63.8,27.6,14.4,22.5,24,5
11/03,63.3,27.5,14.1,22.3,23.8,5
11/04,62.7,27.4,13.7,21.9,23.6,5
11/05,62.7,27.4,13.7,21.8,23.6,5
11/06,63.3,27.8,13.8,21.8,23.8,5
11/07,63.4,27.7,13.7,21.6,23.9,5
11/08,63.2,27.3,14.3,22.7,23.8,5
11/09,62.5,27.4,13.6,21.7,23.5,5
11/10,63,27.5,13.8,21.9,23.7,5
11/11,62.2,27.4,13.3,21.4,23.4,5
11/12,62.5,17.4,13.6,21.7,23.5,5
11/13,62.2,26.7,14.3,23,23.4,5
